NOMMO	N AA M OW
MILETUS	M IH L AH T AH S
FAWNSKIN	F AO N S K IH N
CHUFF	CH AH F
CLARAS	K L AE R AH Z
FLORESCENT	F L AH R EH S AH N T
GODDES	G AA D Z
LATERWHAT	L AH T AH R W HH AH T
SAYEST	S EY AH S T
FORCETHROUGH	F OW R S IH TH R AH F
HOMOPHONOUS	HH OW M OW F OW N AH S
WATERTON	W AO T ER T AH N
SETTETH	S EH T IH TH
TRUNDLES	T R AH N D AH L Z
LEYE	L EY
UNREMEMBERING	AH N R IH M EH M B ER IH NG
MODEINSIDE	M OW D IH N S AY D
GOOGOO	G UW G UW
POLÍPTICO	P OW L P T AH K OW
BACKSTHEN	B AE K S TH AH N
BACKWERE	B AE K W AH R
TIGERCAT	T AY G ER K AE T
CYMOPHANOUS	S AH M AA F AH N AH S
LITHENESS	L AY DH N AH S
ARMYOU	AA R M AY UW
UNLOOKED	AH N L UH K T
GENII	JH IY N IY
GOTLOST	G AA T L AO S T
OVERPRAISING	OW V ER P R EY Z IH NG
SHAIL	SH EY L
JISSOM	JH IH S AH M
THOUSANDFOLD	TH AW Z AH N D F OW L D
INSTRUMENTWHO	IH N S T R AH M EH N T W HH OW
EATSAS	IY T S AH Z
PREDATORAPPROACHES	P R IY D EY T ER AH P R OW CH IH Z
FIELDS…	F IY L D Z
CHASMS	K AE Z AH M Z
INCANTS	IH N K AE N T S
DISGUIS	D IH S G AY Z
MISSHAVING	M IH S SH EY V IH NG
ASSIAN	AE S IY AH N
GIMP	G IH M P
TWISTEDBRAIDS	T W IH S T IH D B R EY D Z
BRANCHY	B R AE N CH IY
DIEDAND	D IY D AH N D
SAPLINGSAND	S AE P L IH NG S AE N D
WORAN	W AO R AH N
SCREAMY	S K R IY M IY
RESTSQUIETLY	R EH S T S K W AY AH T L IY
POCKETLESS	P AA K AH T L AH S
SIMHON	S IH M HH AH N
STICKED	S T IH K T
COMESTIBLE	K AH M AH S T AH B AH L
GONGBIRDS	G AA N G AH R D Z
MALINCHE	M AE L AH N CH IY
SLYSTER	S L IH S T ER
BLACKLY	B L AE K L IY
SCAFFOLDSTHE	S K AE F OW L D S DH
STAYTHE	S T EY DH
ILLUSIONLESS	IH L UW ZH AH N L AH S
UAH	Y UW AH
SPURSMEDIEVAL	S P ER Z M IY D IY IY V AH L
BEAKS	B AH AE K S
EASTOR	IY S T ER
RETAINUNALTERABLY	R IH T EY N AH N AO L T ER AH B L IY
DISEVERYTHING	D IH S IY V AH R IY TH IH NG
ASSURETH	AH SH UW R IH TH
HASTESHE	HH AE S T AH SH
CROZIERED	K R OW ZH ER D
FRIGHTS	F R AY T S
GAZEDAT	G AE Z AH D AH T
ALLEXCEPT	AO L IH K S EH P T
SASSINESS	S AE S IY N AH S
PLUMPEST	P L AH M P AH S T
SUBT	S AH T
YEARALL	Y IH ER AO L
INDOOR/OUTDOOR	IH N D OW R AW T D OW R
LASTNESS	L AE S T N AH S
AERON	EH R AH N
GRAVESWHERE	G R AH V EH S W HH AH R
HEAVENDOM	HH EH V AH N D AH M
TDJ	T IY D IY JH
AIRPUSHED	AH IH R P UH SH T
BÈ	B IY
WITHENS	W IH TH AH N Z
NEUTRALITIES	N UW T R AE L AH T IY Z
Q31	K Y UW TH R IY W AH N
LUMPLINESS	L AH M P L IY N AH S
APOTHEOSIZED	AH P AA TH IY AH Z AY Z D
BLANCHING	B L AE N CH IH NG
EQUISETUM	EH K W IH S AH T AH M
KNOWA	N OW AH
VICTORIE	V IH K T ER IY
LEATHOILTE	L IY TH OY L T
THRUSHNOT	TH R AH SH N AH T
ADI	AE D IY
EXPECTANTLY	IH K S P EH K T AH N T L IY
VERGETHAT	V AH R JH AH TH AH T
GLOTONIS	G L AA T AH N AH S
COLITIS	K OW L AH T IY Z
LOPEN	L OW P AH N
•IT	IH T
GARRES	G AA R Z
AZAMOR	AE Z AH M AH R
RAMBALLIACH	R AE M B AE L IY AH CH
HOURSOF	HH AH R S AH F
BEDAD	B IH D AE D
MELANCHOLYEATS	M EH L AH N K AA L IY IY T S
SPEAKSTHAT	S P IY K S TH AH T
MOTHERCAN	M AH DH ER K AE N
FLIRTY	F L ER T IY
CRANREUCH	K R AE N R UW CH
DISCOVEREDIN	D IH S K OW V R EH D IH N
NATHLESS	N AE TH L AH S
OPENEST	OW P AH N AH S T
APPEARMORE	AE P AH R M AH R
EASTTO	IY S T OW
DECLAMATION	D IY K L AE M EY SH AH N
AYA	EY AH
SENSETHESE	S EH N S AH TH IY Z
MINOANS	M AH N OW N Z
FACEOPENED	F EY S OW P AH N D
VENETIANS	V AH N IY SH AH N Z
YETTO	Y EH T OW
ATHOL	AE TH AH L
ROOFSATOP	R UW F S AH T AA P
HOSPITALENTERING	HH AA S P IH T AH L AH N T ER IH NG
WINDDIDN	W IH N D AH D N
NEBUCHADNEZZAR	N EH B AH CH AE D N EH Z AH R
OUTRIGGING	AW T R IH G IH NG
CHESTTHAT	CH EH S T TH AH T
THIGHSLOOK	TH AY Z L UH K
CIRCUMFLUENCE	S ER K AH M F L UW AH N S
ÉQUIPE	K W AY P
MESHACH	M EH SH AH CH
TSEE	T S IY
MORISCO	M AH R IH S OW
DULCIMERSTILL	D AH L S AH M AH R S T AH L
ITSING	IH T S IH NG
THEDEAD	TH IY D IY D
INSCRIBEDIN	IH N S K R AY B D IH N
SPICIE	S P AY S IY
SODDENNESS	S AA D AH N AH S
WROUGHTIN	R AO T IH N
HALIL	HH AE L AH L
IMMURES	IH M Y AH R Z
CAULD	K AO L D
DRINKEST	D R IH NG K AH S T
MORTGAGEPAYMENTS	M AO R G IH JH P EY M AH N T S
THRENNING	TH R EH N AH NG
FANTHAMS	F AE N TH AH M Z
HESEBON	HH EH S AH B AH N
ARGILLACEOUS	AA R JH IH L AH S IY AH S
ESTÁS	EH S T S
PROSTRATING	P R AA S T R EY T IH NG
MATCHT	M AE CH T
PROTRUDED	P R OW T R UW D IH D
GREY/BROWN	G R EY B R AW N
PARENTSREDREW	P AE R AH N T S R IY D R UW
ETERNITIES	IH T ER N AH T IY Z
BRONTOSAUR	B R AA N T AH S AH R
FLICKERINGLY	F L IH K ER IH NG L IY
SYMBOLETH	S IH M B AH L IH TH
DISBELIEVERS	D IH S B AH L IY V ER Z
ZAMBONI	Z AE M B AH N IY
UNBREACHABLE	AH N B R IY CH AH B AH L
ANNENSKY	AE N EH N S IY
BEENSUITABLE	B IH EH N S W IY T AH B AH L
CRAYONSWITH	K R EY AA N Z W IH TH
EMBOWERING	IH M B AW ER IH NG
VEINIEST	V EY N IY AH S T
PECCASSE	P EH K AH S
Y2K	W AY T UW K EY
MEDIANTHE	M IY D IY AH N DH
GEH	JH IY
TWEEDTHE	T W IY D
ICEON	AY S AO N
BONSCO	B AA N S OW
LIVEDAND	L IH V AH D AH N D
LOVESARE	L AA V AH S AH R
PERSONE	P AH R S OW N
VERTIGINOUSLY	V AH R T AH JH IH N OW AH S L IY
SPADILLIO	S P AH D IH L IY OW
EMCEES	EH M S IY Z
ENDEARMENTS	EH N D IH ER M AH N T S
H2	EY CH T UW
BRIGHELLA	B R AY EH L AH
SLIPIN	S L IH P IH N
REMEMBERI	R AH M EH M B AH R IY
ANALLY	AH N AE L IY
BEERBOTTLES	B IH ER B AA T AH L Z
NECTARINE	N EH K T AH R AY N
LARGERAMOUNT	L AA R JH ER AH M AW N T
ÉTERNEL	T AH R N AH L
GLOZ	G L AA Z
DUDDIES	D AH D IY Z
FORGIVENESSARE	F AO R JH AH V AH N EH S AH R
BLOTTERAND	B L AA T AH R AH N D
REDE	R AH D IY
NIGHTSHIFT	N AY T SH IH F T
ENGINS	EH N JH IH N Z
MICTLÁN	M IH K T L N
POINTTHEY	P OY N T TH IY
MANGLINGS	M AE NG G AH L IH NG Z
LEAPINGS	L IY P IH NG Z
TEAR'ST	T IY R S T
HYPNOTICALLY	HH IH P N AA T IH K AH L IY
SARDANA	S AA R D AH N AH
HOLLYLIKE	HH AA L AH L AY K
PEQUOD	P EH K W AH D
MEMENTOSON	M IH M EH N T OW S AH N
CHIMPISH	CH IH M P AH SH
WINTERGARTEN	W IH N T AH R G AA R T AH N
SYLPHS	S IH L F S
DICES	D AY S IH Z
BASHO	B AE SH OW
ALAMAIN	AH L AE M AH IH N
FINISHDRESSING	F IH N IH SH D R EH S IH NG
WASWHEN	W AA S W AH N
MAYFLAGS	M EY F L AE G Z
THRIVERS	TH R AY V ER Z
HOOFING	HH UW F IH NG
OCHILTREE	AA CH AH L T R IY IY
MEMY	M IY M IY
'DOTH	D AA TH
CONTEMPTIBLY	K AH N T EH M P T AH B L IY
DEDICATESTHE	D AH D IH K AH T AH S DH
HANKED	HH AE NG K T
RINGLETS	R IH NG L AH T S
NEEDEFUL	N IY D F AH L
FRESHTHE	F R EH SH DH
ESTRAGON	EH S T R AH G AH N
HAEMO	HH IY M OW
CARTILAGINOUS	K AA R T IH L AH JH IH N AH S
SUSTAINE	S AH S T EY N
GUTHRIE……DEAD	G AH TH R AH D IY D
REPORTE	R AH P AO R T
PROSCRIPTIVE	P R OW S K R IH P T IH V
BALLPEEN	B AE L P IY AH N
ISOCHRONOUS	AH S AA K R AH N AH S
TOW'RD	T OW R D
BROOKED	B R UH K T
STILLWHO	S T IH L W HH OW
VOXDEI	V AA K S D IY
'WARE	W AE R
HOOKAH	HH UH K AH
ARMEE	AA R M IY
LIVST	L IH V S T
RAUNGING	R AO NG AH NG
THISHE	TH IH SH
THEWEATHER	TH UW IY DH AH R
DWEL	D W EH L
SILKED	S IH L K T
ESTAR	EH S T AH R
BRR	B IY AA R
WAISA	W EY S AH
DANCIN/	D AE N S AH N
PONCELET	P AA N S L AH T
8,042,189	EY T Z IY R OW F OW R T UW W AH N EY T N AY N
CORTEZS	K AA R T EH Z
GRANARY	G R EY N AH R IY
SKINFEELS	S K IH N F IY L Z
TIMEOTHER	T AY M AH DH ER
SISSIEST	S IY Z IY AH S T
GRAVEMADE	G R EY V M EY D
STRANGURY	S T R EY N JH ER IY
SMOKEFILLED	S M OW K F IH L D
UNRESEMBLES	AH N R IH Z EH M B AH L Z
SPANCELLED	S P AE N S EH L D
ABRUPTIONS	AH B R AH P SH AH N Z
WORMTHEN	W ER M TH AH N
GINKGOES	G IH NG K OW Z
HYDRANGEAS	HH IH D R AE N JH IY Z
FOLIO	F OW L IY OW
SPEEDTHE	S P IY D
CRAYONIT	K R EY AH N AH T
FACESHELD	F EY S IH Z HH EH L D
ROTIN	R AA T IH N
FON	F AA N
BATHTUBNEVER	B AE TH T AH B N IY V AH R
CANSKNOCKS	K AE N Z N AA K S
SAÚD	S AE D
WATERAS	W AA T AH R AH Z
SWITCHWORT	S W IH CH W AH R T
PASTORALS	P AE S T ER AH L Z
MOMENTO	M AH M EH N T OW
BROKENWE	B R AA K AH N W
GRIPETH	G R AY P IH TH
DEATHWHOE	D IY AE TH W HH OW
MALACHITE	M AE L AH CH AY T
SYMBOLISTES	S IH M B AH L AH S T S
WARSAID	W AO R S EH D
NONEWAS	N AA N Y UW AH Z
DECIPER	D AH S AY P AH R
AFRIGHT	AH F R AY T
SIREEEP	S IH R IY AH P
NOCTURNUM	N AA K T AH R N AH M
BHUIDHE	B HH UW D HH
WHESTLYNG	W EH S T L AH NG
WONDERD	W AA N D AH R D
REMINDUS	R AH M AY N D AH S
MISSIN	M IH S IH N
PURPLING	P ER P AH L IH NG
GLAZEN	G L EY Z AH N
TURNEDOUR	T AH R N AH D AH R
INDOORSAND	IH N D OW R S AE N D
THEATERWATCHING	TH IY AH T ER W AA CH IH NG
DISSEVER	D IH S EH V ER
DAUNCEN	D AO N S AH N
LEGGÈD	L EH G D
DOOROF	D UH R AH F
SOMETIMEDEATH	S AH M AH T IH M AH D IY TH
HOUSEBOUND	HH AW S B AW N D
PURGANTI	P AH R G AE N T IY
FAMILIES/	F AE M AH L IY Z
ARMLESSWOMAN	AA R M L EH S W UH M AH N
SAVÈD	S AE V D
KIOWATO	K AY OW AH T OW
NERVEFIBRE	N AH R V EH F AH B AH R
13TH	W AH N TH R IY T IY EY CH
ARMAGEDDONA	AA R M AH JH EH D AH N AH
ORANGEADE	AO R IH N JH EY D
PALANQUIN	P AH L AE NG K W AH N
WHUT	W AH T
304AT	TH R IY Z IY R OW F OW R EY T IY
BARRIERNOW	B AE R IY R N OW
BRINGER	B R IH NG ER
ASOCIACIÓN	AE S AH S IY AH S AH N
MUSTA	M AH S T AH
AFRAID/	AH F R EY D
ANTIQUARIAN	AE N T AH K W EH R IY AH N
SHUCKER	SH AH K ER
FRANCONIA	F R AE NG K OW N Y AH
BYHOVE	B AY HH OW V
EXOSKELETONS	IH G Z AA S EH L AH T AH N Z
STARTEDYELLING	S T AA R T EH D Y EH L IH NG
FATBACK	F AE T B AE K
BEDEFUNDE	B IH D AH F AH N D
WALSYNGHAM	W AA L S AH N AH M
RESTFULLY	R EH S T F AH L IY
FLOWERTHAT	F L OW AH R TH AH T
NURSESFOUR	N ER S IH Z F OW R
QUITTACUS	K W IH T AH S AH S
SPIRALHEAVENWARD	S P AY R AH L HH EH V AH N W ER D
WARBOUGHT	W AO R B AO T
'COFFEE	K AA F IY IY
CLOUDSABOVE	K L AW D Z AH B AH V
WOL	W AA L
ATTENDAND	AE T EH N D AH N D
UNDERSTOODTHY	AH N D ER S T UH D TH IY
MAWNIN	M AO N AH N
SEESAWS	S IY S AO Z
HAPS	HH AE P S
BLOCKISH	B L AA K IH SH
VASENKADEPOSIT	V AH S EH NG K AH D EH P AH S AH T
PEERSWOE	P IH ER Z W OW
RUSTLES	R AH S AH L Z
PROVYDES	P R OW V AY D Z
TELLEN	T EH L AH N
SCALLOPING	S K AE L AH P IH NG
OUBLIETTE	AW B L AY EH T
JUANITO	JH UW W AE N AH T OW
UTTERER	AH T ER ER
MAREOTIC	M AE R IY AH T AH K
ENCAGED	EH N K EY JH D
INORDER	IH N AO R D ER
SIDEOF	S IH D IY AH F
DEWFALLS	D UW F AO L Z
DAIMONJI	D EY M AA N JH IY
PALELY	P EY L IY
UNQUENCHABLE	AH N K W EH N CH AH B AH L
MALIC	M EY L IH K
GARDENIN	G AA R D AH N IH N
MESSAGESCARRED	M EH S IH JH S K AA R D
ROWOF	R OW AH F
MATTERSEA	M AE T ER S IY
BUTTERFLIESUNTIL	B AH T AH R F L AH S AH N T AH L
SÉANCE	S AE N S
EXCEPTI	IH K S EH P T IY
CHINESELANTERN	CH IH N AH S AH L AE N T AH R N
LLNEED	L N IY D
T'AWAYT	T AO EY T
REBURIED	R IY B EH R IY D
SUBSETS	S AH B S EH T S
STAKEN	S T EY K AH N
PEASHELLS	P IY SH EH L Z
DRAPIER	D R EY P IY ER
KOOLADE	K UW L EY D
BATTURE	B AE CH ER
FENCEPOSTS	F EH N S P OW S T S
BAAA	B AA AH
VOICEAND	V OY S IY N D
GAMESOME	G EY M S AH M
SATCHELFUL	S AH CH EH L F AH L
NIGGLING	N IH G L AH NG
LOFTIE	L AO F T IY
OAKBECOME	OW K B IY K AH M
WYRDSTAEF	W AH R D S T IY F
1837	W AH N EY T TH R IY S EH V AH N
VEYL	V EY L
BEHINDPETE	B AH HH IH N D P IY T
JEALOUSIEWAS	JH IY L AW S IY W AH Z
PADDOCKS	P AE D AH K S
ITDESTINY	IH T D EH S T AH N IY
DOUCEUR	D AW S AH R
EBBRY	EH B R IY
BEHINDHIS	B AH HH IH N D AH S
DEEF	D IY EH F
UNDIVINED	AH N D AH V AY N D
WITHTHE	W IH TH DH
UNSPIRALED	AH N S P AY R AH L D
SCURFF	S K AH R F
PRECIPITANCE	P R IY S IH P AH T AH N S
MARCHINGS	M AA R CH IH NG Z
LITTLEWORM	L IH T AH L W ER M
DELICATELYPICKING	D EH L IH K AH T L IY P IH K IH NG
EKATERINOSLAV	AH K AE T AH R AH N AA Z L AH V
WAUR	W AO R
UNDERFUR	AH N D ER F ER
POCKETKNIVES	P AA K AH T N AY V Z
SONGENO	S AA N JH AH N OW
CROWISH	K R OW IH SH
PYRACANTHA	P IH R AH K AE N TH AH
ROSALINE	R AA S AH L AY N
COUNTERINTUITIVE	K AW N T ER IH N T UW AH T IH V
SHERIFFAND	SH AH R IH F AH N D
COROLLAS	K OW R AA L AH Z
NAA	N AA
GREBES	G R IY B Z
DOORSLAPPING	D OW R S L AE P IH NG
UNSHAK	AH N SH AE K
HEARA	HH IY R AH
~~~~~~~~~~~~~~~~~~~OR	
SIGH'ST	S AY S T
WOLE	W OW L
PASHAS	P AA SH AH Z
–/	
DEFTEST	D EH F T AH S T
PERFUSE	P ER F Y UW Z
OVERWRAPPED	OW V ER R AE P T
DRINKTO	D R IH NG K T OW
ROWDIESTFLEEING	R AW D IY AH S T F L IY IH NG
SANDALSAND	S AE N D AH L S AE N D
ANDHUDDLED	AE N D HH AH D AH L D
AFTERNOONOF	AE F T AH R N UW N AH F
UNSAVED	AH N S EY V D
ABROACH	AH B R OW CH
POLYGLOTOF	P AH L IH G L AH T AH F
POSTINDUSTRIAL	P OW S T IH N D AH S T R IY AH L
CINEMASCOPIC	S IH N AH M AH S K OW P IH K
ENGIRDLES	EH N G ER D AH L Z
HANDMOVING	HH AE N D M UW V IH NG
ROODWHERE	R UW D W HH AH R
CONVENTIONALIZE	K AA N V AH N CH AH N AH L AY Z
SUNWHEN	S AH N W AH N
TEREUS	T IH R IY AH S
KIFISIA	K AH F IH ZH IY AH
GLOSE	G L OW Z
THRONGOF	TH R AA N G AH F
REMEDILESS	R IY M IY D IY L AH S
POLONIAE	P AH L OW N IY IY
BIGGIT	B AY JH IH T
CLASPIN	K L AE S P IH N
APOLLOAND	AE P AH L OW N D
ORANGERY	AO R IH N JH AH R IY
STEINE	S T IY N
HANDMAIDENS	HH AE N D M EY D AH N Z
AMAZ	AE M AH Z
EARTH–OLD	ER TH OW L D
PREPOSITION	P R EH P AH Z IH SH AH N
SUBTRACTIVELY	S AH B T R AE K T IH V L IY
CLERKLY	K L ER K L IY
DEODORIZED	D IY OW D ER AY Z D
FANNWINNOWS	F AE N W IH N OW Z
BEAUTILESS	B Y UW T IY L AH S
PAKOLS	P AE K AH L Z
DIAMONDSTHAT	D AY AH M AA N D S TH AH T
FLARESOUNDING	F L EH R S AW N D IH NG
JACK……JACK	JH AE K JH AE K
RIVERUPON	R IH V ER AH P AO N
BOATHOUSEOR	B OW T HH AW S ER
HALLWAYTO	HH AE L W EY T OW
GLISTERED	G L IH S T IY R D
RTH	AA R T IY
UNSATED	AH N S AE T IH D
HOMEFINALLY	HH OW M F AY N AH L IY
DOGTRACK	D AO G T R AE K
CLEMENTINA	K L AH M EH N T AH N AH
UNDECEIVED	AH N D IH S IY V D
MOTORWAY	M OW T ER W EY
UNCIAL	AH N CH AH L
EAC	IY K
ARGOS	AA R G AH Z
BEGEMMED	B IH JH EH M D
AFTERTIME	AE F T ER T AY M
COMPOSTED	K AA M P OW S T IH D
LLE	L IY
LUCYSIGHS	L UW S IY S AY Z
NIGHTHAVE	N AY TH EY V
VOYAIENT	V OY EY IY AH N T
PERFUMERY	P ER F Y UW M AH R IY
AHU	AE HH UW
SUNBATHERS	S AH N B EY DH ER Z
DRESTFOR	D R EH S T AH R
HUMPING	HH AH M P IH NG
GNUS	N AH Z
OVERTURNES	AH V AH R T AH R N Z
EASINGTHE	IY S AH N G
WANXIAN	W AA NG K S IY AH N
SHANTALLA	SH AE N T AE L AH
ARZACHEL	AA R Z AH CH AH L
SCREENPORCH	S K R IY N P OW R CH
UNMOURNING	AH N M OW R N IH NG
NIGHTJAR	N AY T JH AA R
DEROGATE	D EH R AH G EY T
UNFOREKNOWN	AH N F OW R N OW N
POORBOY	P UH R B OY
OPPOSABLE	AH P OW Z AH B AH L
POLYPHEMUS	P AH L IH F AH M AH S
NADAB	N AE D AH B
HASALWAYS	HH AA Z AH L W EY Z
PROMETHEAN	P R OW M EH DH IY AH N
INCREATE	IH N K R IY EY T
VII	V IY
MELTSAWAY	M EH L T S AH W EY
CHIEFEXECUTIVE	CH IY F IH G Z EH K Y AH T AH V
TH'UNPLEASANT	TH AH N P L IY Z AH N T
JUSTTO	JH AH S T OW
HEAV'NS	HH IY V N Z
REMEMBERHOW	R AH M EH M B AH R OW
READYO	R IY AE D AY OW
1679	W AH N S IH K S EH V AH N AY N
CONTAINABLE	K AH N T EY N AH B AH L
CURTSEY	K ER T S IY
GAZINE	G AH Z AY N
WARTHOGS	W AO R T HH AA G Z
COLLYMORE	K AA L IH M AH R
DISDAINETH	D IH S D EY N IH TH
MINUTESLATER	M IH N AH T S L EY T ER
HURTCOULD	HH AH R T OW L D
INQUISITIONOF	IH N K W IH S AH T IY AH N AH F
BODILESS	B AA D IY L AH S
MALLETS	M AE L EH T S
CUTTHE	K AH T DH
VOICETHE	V OY S AH DH
DEPRIV	D IH P R IH V
MEU	M Y UW
BACKBEAT	B AE K B IY T
ABBATTE	AE B AH T
PAPERCOMPILED	P EY P ER K AH M P AY L D
AIRFROM	AE AH R F R AH M
UNCROWNED	AH N K R AW N D
FLUBBING	F L AH B IH NG
SILKE	S IH K
LAVASH	L AE V AH SH
DESOLATEBUT	D AH S AH L AE T AH B AH T
EMBOWER	IH M B AW ER
¿WHERE	W EH ER
ELEMENTED	EH L AH M AH N T IH D
EXTREMETIES	IH K S T R IY M T AY Z
CHARITÉ	CH AE R AH T
YOULIKE	Y AW L AY K
MOODWHICH	M UW D W HH AH CH
SYLVANIAS	S IH L V EY N Y AH Z
UMBRAM	AH M B R AH M
STEINDAMM	S T IY N D AH M
VOUTSAF'T	V AW T S AH F T
BUMPKINS	B AH M P K IH N Z
LIGHTDIFFUSED	L AY T D IH F Y UW S T
WRYNKLED	R IH NG K AH L D
DOZILY	D OW Z IY L IY
SOVERAIGNE	S AA V AH R EY N
SHOARE	SH OW R
CLIPD	K L IH P D
ENGUEULÉ	IH N G Y UW AH AH L
QUADRUPED	K W AA D R UW P T
T'INGS	T IH NG Z
GADZOOKS	G AE D Z AH K S
SHOWRS	SH OW R Z
HWY	W AY
BEDSTEAD	B EH D S T EH D
COATTHIS	K OW T TH IY Z
DMT	D IY EH M T
TRYIN	T R AY IH N
RUCHED	R AH CH T
MATARA	M AE T AH R AH
MOV	M AA V
SOOTFLIES	S AH T F L AY Z
ROSNAREE	R AA Z N AH R IY IY
ARGOB	AA R G AH B
MAMUA	M AE M Y UW AH
BETE	B AH T IY
SMITHY	S M IH TH IY
RAVISHES	R EY V IH SH IH Z
VÉNUS	V N AH Z
STREETFUL	S T R IY T F AH L
ALLLIPSTICK	AO L IH P S T IH K
XXXVIII	Z K S K S V IY IY
DETONATES	D EH T AH N AH T S
UNFRACTIONED	AH N F R AE K SH AH N D
2ND	T UW EH N D IY
SKYFUL	S K AY F AH L
NEBBER	N EH B AH R
TRILOBITES	T R IH L AH B AY T S
TRACKACROSS	T R AE K AH K R AO S
SLOUGHING	S L AH F IH NG
CANCERED	K AE N S ER D
BEWRAYED	B AH R EY D
PAGO	P AE G OW
ONEA	OW N IY AH
SMERED	S M IY R D
WINDRASP	W IH N D R AE S P
WILLARBEITEN	W IH L AH R B IY T AH N
GARDENRAISED	G AA R D AH N R EY Z D
DEADYOU	D IY AE D AY UW
GENTRIFICATEES	JH EH N T R AH F AH K AH T IY Z
